Row,298,773,1273,1773,2273,2773,3273
Pc[Pa],2758000,2758000,2758000,2758000,2758000,2758000,2758000
dP[Pa],0.15,0.15,0.15,0.15,0.15,0.15,0.15
T0[s],298,773,1273,1773,2273,2773,3273
gamma[-],1.4,1.4,1.4,1.4,1.4,1.4,1.4
Rs[J/kgK],297,297,297,297,297,297,297
Cf[-],1.3,1.3,1.3,1.3,1.3,1.3,1.3
nCf[-],0.95,0.95,0.95,0.95,0.95,0.95,0.95
Isp_pp[kg],1,1,1,1,1,1,1
T[N],0.3,0.3,0.3,0.3,0.3,0.3,0.3
dV[m/s],800,800,800,800,800,800,800
burn-time[s],3600000,3600000,3600000,3600000,3600000,3600000,3600000
burn-time_full[%],1,1,1,1,1,1,1
#Thrusters[-],4,4,4,4,4,4,4
nThruster[-],0.8,0.8,0.8,0.8,0.8,0.8,0.8
Current[A],12,12,12,12,12,12,12
Pi[Pa],3244705.88235294,3244705.88235294,3244705.88235294,3244705.88235294,3244705.88235294,3244705.88235294,3244705.88235294
cstar[m/s],275.431090682017,443.603104459058,569.270962346955,671.829697808264,760.684466216353,840.194365268282,912.804626255962
mdot[kg/s],0.000881944660479626,0.000547595310572279,0.000426712402044204,0.000361572256405985,0.000319337373832997,0.000289117601591532,0.000266119356508354
Isp_full[s],34.6745562683274,55.8460585124299,71.6666298163598,84.57794870471,95.7640484992044,105.773704496058,114.914751623457
Isp_pulsed[s],34.6745562683274,55.8460585124299,71.6666298163598,84.57794870471,95.7640484992044,105.773704496058,114.914751623457
Isp[s],34.6745562683274,55.8460585124299,71.6666298163598,84.57794870471,95.7640484992044,105.773704496058,114.914751623457
ve[m/s],340.157396992292,547.849834006937,703.04963849849,829.709676793206,939.445315777196,1037.64004110633,1127.31371342611
MR[-],10.5050114887859,4.3070540766803,3.12020822627316,2.6226694778799,2.34331438302997,2.16188444784992,2.0332827748123
Mp[kg],3175.00077772665,1971.3431180602,1536.16464735914,1301.66012306155,1149.61454579879,1040.82336572951,958.029683430074
M0[kg],3509.0351743681,2567.44559245309,2260.69944932968,2103.83218632253,2005.4190844249,1936.62962912823,1885.2005477698
Mf[kg],334.034396641449,596.102474392885,724.534801970542,802.172063260988,855.804538626116,895.806263398717,927.17086433973
mdot_thruster[kg/s],0.000220486165119907,0.00013689882764307,0.000106678100511051,9.03930641014963e-05,7.98343434582492e-05,7.22794003978829e-05,6.65298391270885e-05
vt[m/s],321.336272462354,517.536955202235,664.149456071448,783.801314109641,887.465210585745,980.226759479662,1064.93873063196
V1[m^3/kg],0.0320906453952139,0.0832418419144308,0.137085206671501,0.190928571428571,0.244771936185642,0.298615300942712,0.352458665699782
Vt[m^3/kg],0.0131559905116491,0.0341261096157877,0.0561999191990916,0.0782737287823954,0.100347538365699,0.122421347949003,0.144495157532307
V2[m^3/kg],1278.80087363739,3317.1579708782,5462.79702060537,7608.43607033254,9754.07512005971,11899.7141697869,14045.353219514
At[m^2],9.02703536715489e-09,9.02703536715488e-09,9.02703536715488e-09,9.02703536715488e-09,9.02703536715488e-09,9.02703536715488e-09,9.02703536715488e-09
Area Ratio[-],90,90,90,90,90,90,90
A2[m^2],8.1243318304394e-07,8.1243318304394e-07,8.1243318304394e-07,8.1243318304394e-07,8.12433183043939e-07,8.1243318304394e-07,8.1243318304394e-07
Dt[m],5.36040539539327e-05,5.36040539539327e-05,5.36040539539327e-05,5.36040539539327e-05,5.36040539539327e-05,5.36040539539327e-05,5.36040539539327e-05
D2[m],0.000508532706938945,0.000508532706938945,0.000508532706938945,0.000508532706938945,0.000508532706938945,0.000508532706938945,0.000508532706938945
PF[W/N],170.078698496146,273.924917003469,351.524819249245,414.854838396603,469.722657888598,518.820020553164,563.656856713056
Pw[W],63.7795119360547,102.721843876301,131.821807218467,155.570564398726,176.145996708224,194.557507707437,211.371321267396
Vd[V],5.31495932800456,8.56015365635839,10.9851506015389,12.9642136998938,14.6788330590187,16.2131256422864,17.614276772283
R[Ohm],0.442913277333713,0.713346138029866,0.915429216794908,1.08035114165782,1.22323608825156,1.35109380352386,1.46785639769025
Isp_gain,0,61.0577452823559,106.683624908625,143.919339732015,176.179593354098,205.047031251195,231.409436747206
mp_gain,0,37.9104681835161,51.6168733521051,59.0028408121036,63.7916767182045,67.2181697393234,69.8258441336182
m0_gain,0,26.8332899251879,35.5748991676387,40.0452807743261,42.8498437669256,44.81019616804,46.2758150291473
mf_gain,0,78.4554166835514,116.904249758522,140.146545184098,156.202519031216,168.17785006742,177.567482170092
